timestamp,evse_id,session_active,session_power_kw,output_voltage_v,output_current_a,energy_kwh_24h,uptime_pct_24h,ambient_temp_c,cabinet_temp_c,connector_temp_c,coolant_temp_c,coolant_flow_lpm,fan_rpm,grid_thd_pct,grid_imbalance_pct,dc_bus_voltage_v,dc_bus_ripple_v,contactor_cycles,plug_insertions,ocpp_error_count_24h,failure,fault_type
2025-01-01 00:00:00,EVSE_000,0,0.0,800.3,0.0,0.0,100.0,7.35,6.49,13.8,7.57,14.59,2527.0,3.49,1.17,895.2,2.72,0,1552,0,0,
2025-01-01 00:05:00,EVSE_000,0,0.0,799.4,0.0,0.0,100.0,5.49,3.97,13.6,5.71,14.59,2527.0,4.14,1.14,902.1,2.74,0,1552,0,0,
2025-01-01 00:10:00,EVSE_000,0,0.0,802.5,0.0,0.0,100.0,7.35,6.03,13.82,6.86,14.59,2527.0,3.66,1.1,903.3,2.76,0,1552,0,0,
2025-01-01 00:15:00,EVSE_000,0,0.0,800.9,0.0,0.0,100.0,7.05,5.99,15.33,7.09,14.59,2527.0,3.06,1.15,901.4,2.78,0,1552,0,0,
2025-01-01 00:20:00,EVSE_000,0,0.0,798.9,0.0,0.0,100.0,7.79,5.87,16.43,6.78,14.59,2527.0,3.68,1.31,898.3,2.78,0,1552,0,0,
2025-01-01 00:25:00,EVSE_000,0,0.0,798.2,0.0,0.0,100.0,7.03,5.64,12.97,6.35,14.59,2527.0,3.54,1.3,895.4,2.8,0,1552,0,0,
2025-01-01 00:30:00,EVSE_000,0,0.0,802.5,0.0,0.0,100.0,5.63,4.76,12.31,5.41,14.59,2527.0,3.65,1.13,898.1,2.76,0,1552,0,0,
2025-01-01 00:35:00,EVSE_000,0,0.0,801.8,0.0,0.0,100.0,6.8,5.49,13.76,6.75,14.59,2527.0,3.1,1.05,891.6,2.72,0,1552,0,0,
2025-01-01 00:40:00,EVSE_000,0,0.0,798.5,0.0,0.0,100.0,7.56,6.04,15.92,7.0,14.59,2527.0,3.4,1.33,899.0,2.69,0,1552,0,0,
2025-01-01 00:45:00,EVSE_000,0,0.0,801.0,0.0,0.0,100.0,5.29,2.9,12.85,4.97,14.59,2527.0,3.98,1.16,901.2,2.69,0,1552,0,0,
2025-01-01 00:50:00,EVSE_000,0,0.0,800.9,0.0,0.0,100.0,7.63,7.07,15.53,8.51,14.59,2527.0,3.22,1.14,894.1,2.67,0,1552,0,0,
2025-01-01 00:55:00,EVSE_000,0,0.0,799.1,0.0,0.0,100.0,4.24,2.19,12.09,4.74,14.59,2527.0,3.62,1.05,910.0,2.76,0,1552,0,0,
2025-01-01 01:00:00,EVSE_000,0,0.0,796.7,0.0,0.0,100.0,5.91,4.19,13.22,6.55,14.59,2527.0,3.19,0.95,900.8,2.75,0,1552,0,0,
2025-01-01 01:05:00,EVSE_000,0,0.0,801.1,0.0,0.0,100.0,8.53,7.4,17.18,8.23,14.59,2527.0,3.28,1.52,894.1,2.73,0,1552,0,0,
2025-01-01 01:10:00,EVSE_000,0,0.0,796.4,0.0,0.0,100.0,7.53,6.6,14.81,7.5,14.59,2527.0,3.36,1.02,896.7,2.74,0,1552,0,0,
2025-01-01 01:15:00,EVSE_000,0,0.0,806.3,0.0,0.0,100.0,6.6,5.27,14.42,7.38,14.59,2527.0,3.83,1.26,901.1,2.73,0,1552,0,0,
2025-01-01 01:20:00,EVSE_000,0,0.0,795.1,0.0,0.0,100.0,4.77,4.86,14.31,4.66,14.59,2527.0,3.17,1.07,898.1,2.77,0,1552,0,0,
